"Farmer.","Country","Regions","RegionsDetail","ClimateZones","S1.1a","S1.1b","S1.1c","S1.1d","S1.1e","S1.1f","S1.1g","S1.2a","S1.2b1","S1.2b2","S1.2b3","S1.2c","S1.3a","S1.3b","S1.3c","S1.3d","S1.3e","S1.3f","S1.4","S1.5","S1.6","S1.7","S1.8a","S1.8b","S1.8c","S1.8d","S1.8e","S1.8f","S1.8g","S1.8h","S1.8i","S1.8j","S1.9a","S1.9b","S1.9c","S1.9d","S1.9e","S1.9f","S1.9g","S1.9h","S1.9i","S1.9j","S2.1a1","S2.1a2","S2.1a3","S2.1a4","S2.1aalt","S2.1aalt1","S2.1b1","S2.1b2","S2.1b3","S2.1b4","S2.1balt","S2.1balt1","S2.1c1","S2.1c2","S2.1c3","S2.1c4","S2.1calt","S2.1calt1","S2.1d1","S2.1d2","S2.1d3","S2.1d4","S2.1dalt","S2.1dalt1","S2.2a","S2.2b09","S2.2b10","S2.2b11","S2.2b12","S2.2b13","S2.2b14","S2.2b15","S2.2b16","S2.2b17","S2.2b18","S2.2b19","S2.2c","S2.3a","S2.3b09","S2.3b10","S2.3b11","S2.3b12","S2.3b13","S2.3b14","S2.3b15","S2.3b16","S2.3b17","S2.3b18","S2.3b19","S2.3c","S2.4a","S2.4b09","S2.4b10","S2.4b11","S2.4b12","S2.4b13","S2.4b14","S2.4b15","S2.4b16","S2.4b17","S2.4b18","S2.4b19","S2.4c","S2.5a","S2.5b09","S2.5b10","S2.5b11","S2.5b12","S2.5b13","S2.5b14","S2.5b15","S2.5b16","S2.5b17","S2.5b18","S2.5b19","S2.5c","S2.6a","S2.6b09","S2.6b10","S2.6b11","S2.6b12","S2.6b13","S2.6b14","S2.6b15","S2.6b16","S2.6b17","S2.6b18","S2.6b19","S2.6c","S2.7","S2.8","S3.1a","S3.1b","S3.1c","S3.2a","S3.2b","S3.2c","S3.2d","S3.2e","S3.2f","S3.2g","S3.2h","S3.2i","S3.2j","S3.2k","S3.2l","S3.2m","S3.2n","S3.2o","S3.3","S3.4","S3.5","S4.1a","S4.1b","S4.1c","S4.2a","S4.2b","S4.2c","S4.2d","S4.2e","S4.3a","S4.3b","S4.3c","S4.4","S4.5a","S4.5b","S4.6","S4.6not","S4.7","S4.8","S4.9","S4.10","S5.1a","S5.1b","S5.2a","S5.2b","S5.2c","S5.2d","S5.3","S5.4","S5.5a","S5.5b","S5.5c","S5.5d","S5.5e","S5.5f","S5.5g","S5.5h","S5.5i","S5.5j","S5.5k","S5.5l","S5.5m","S5.5n","S5.5first","S5.6a","S5.6b","S5.6c","S5.6d","S5.6e","S5.6f","S5.6g","S5.6h","S5.6i","S5.6j","S5.6k","S5.6l","S5.6m","S5.6n","S5.6o","S5.6p","S5.6first","S5.7","S5.8","S5.9","S5.10","S5.11","S5.12","S5.13a","S5.13b","S5.13c","S5.13da","S5.13db","S5.13dc","S5.13dd","S5.14aa","S5.14ab","S5.14ac","S5.14ad","S5.14b","S5.14c","S5.15a","S5.15b","S5.15c","S5.15d","S5.16a","S5.16b","S5.17a","S5.17b","S5.17c","S5.17d","S6a.1","S6a.1.5","S6a.1.5related","S6a.2a","S6a.2b","S6a.2c","S6a.2d","S6a.2e","S6a.2f","S6a.2g","S6a.2h","S6a.2i","S6a.2j","S6a.2k","S6a.2l","S6a.2m","S6a.2n","S6a.3","S6a.4","S6a.4related","S6b.1","S6b.1.5","S6b.1.5related","S6b.2a","S6b.2b","S6b.2c","S6b.2d","S6b.2e","S6b.2f","S6b.2g","S6b.2h","S6b.2i","S6b.2j","S6b.2k","S6b.2l","S6b.2m","S6b.2n","S6b.3","S6b.4","S6b.4related","S6Index","S6.1","S6.1.5","S6.1.5related","S6.2a","S6.2b","S6.2c","S6.2d","S6.2e","S6.2f","S6.2g","S6.2h","S6.2i","S6.2j","S6.2k","S6.2l","S6.2m","S6.2n","S6.3","S6.4","S6.4related","S7.1","S7.1alternative","S7.2a","S7.2b","S7.2c","S7.2d","S7.2e","S7.2f","S7.2g","S7.2h","S7.2i","S7.2j","S7.2k","S8.1a","S8.1b","S8.1c","S8.1d","S8.1dspecify","S8.2a1","S8.2a2","S8.2a3","S8.2b","S8.2balternative","S8.2c","S8.2d","S8.3a","S8.3b","S8.3c","S8.3d","S8.4a","S8.4b","S8.5a","S8.5b","S8.5c","S8.6a","S8.6b","S8.6c1","S8.6c2","S8.6c3","S8.6c4","S8.6c5","S8.6c6","S8.6c7","S8.6c8","S8.6d","S8.6e","S8.6e1","S8.7a","S8.7b","S8.7c","S8.8","S8.9","S8.10a","S8.10b","S8.11","S8.12a","S8.12b1","S8.12b2","S8.12c","S8.13","S8.14","S1.2b1.cat","Country.num","Farmer.ID"
1,"Chile","North",6,"hotter",5,5,5,4,5,4,5,"1_CL","3_FS","3_FS",NA,5,2,1,2,1,2,2,2,5,3,5,3,5,5,5,5,2,2,1,2,2,5,5,3,3,4,4,2,NA,3,1,"TRUE","FALSE","FALSE","FALSE","increased","increased","FALSE","FALSE","TRUE","FALSE","decreased","decreased","TRUE","FALSE","FALSE","FALSE","increased","increased","TRUE","FALSE","FALSE","FALSE","increased","increased","YES",0,0,0,0,1,0,1,0,0,0,0,5,"YES",0,1,1,1,1,1,1,1,1,1,1,5,"YES",0,0,0,0,0,0,1,0,0,0,0,4,"YES",1,1,1,1,1,1,1,1,1,1,1,5,"YES",0,0,0,0,0,0,0,0,0,1,0,5,1,1,5,5,5,0,1,1,1,1,0,0,0,1,0,0,0,0,NA,0,4,3,1,5,5,5,5,5,5,3,3,"4_WA","1_P","1_H",5,5,2,"60-80%",0,"N/A",5,5,5,5,5,3,5,5,5,1,"YES","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,"d","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,4,4,3,"YES",5,5,2,2,1,1,1,1,1,5,5,5,5,5,1,5,5,1,5,5,2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"1_DO",NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"4_DO",NA,"b",1,"1_DO",NA,1,1,0,1,0,0,0,0,0,0,0,NA,0,0,1,"4_DO",NA,"5_SELFN","5_SNEGREP",5,5,1,5,5,5,1,5,5,6,6,"chile     ",56,"F",5,NA,50,3,NA,"1_FAM","FAMALL",15,"NO",20,20,"NO",NA,3,2,2,2,360,5,2,"lapins",NA,NA,NA,NA,NA,NA,NA,80,"FR",NA,0,100,0,2,2,1,"LAY","R","NO",NA,NA,NA,3,3,"3",1,"1_C"
2,"Chile","North",6,"hotter",5,5,1,5,5,5,5,"1_CL","3_M",NA,NA,3,2,1,2,1,1,2,2,5,2,5,1,3,4,1,1,4,2,3,3,1,4,4,5,4,5,4,4,5,5,4,"TRUE","FALSE","FALSE","TRUE","increased","increased and unpredictable","FALSE","FALSE","TRUE","TRUE","decreased","decreased and unpredictable","TRUE","FALSE","FALSE","TRUE","increased","increased and unpredictable","TRUE","FALSE","FALSE","TRUE","increased","increased and unpredictable","YES",0,0,0,0,0,0,0,1,1,1,0,3,"YES",0,0,0,0,0,0,0,0,0,0,0,4,"YES",0,0,0,0,0,0,1,1,1,0,0,4,"YES",0,0,0,0,0,0,1,1,1,1,0,4,"YES",0,0,0,0,0,1,0,1,0,1,0,5,1,1,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,2,5,5,5,5,4,3,3,3,"2_DR","1_F","1_T",5,5,3,"40-60%",0,"3_FS",4,4,3,5,5,5,4,3,3,1,"YES","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","2_F","h","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,5,3,4,"YES",5,2,3,5,3,5,2,2,4,4,5,5,3,3,3,4,5,2,5,3,5,5,5,3,3,1,"6_OT",NA,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,2,"3_FFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a",1,"6_OT",NA,1,1,1,0,0,1,1,1,1,0,0,NA,0,0,2,"3_FFR",NA,"4_FONEG","4_FONEGEXP",1,4,4,5,4,1,1,2,5,4,5,"chile     ",68,"M",2,NA,43,NA,NA,"1_OTF","OTF",43,"I don’t know",43,43,"YES",21,1,1,0,5,100,2,0.7,"bing","rainier",NA,NA,NA,NA,NA,NA,70,"FR",NA,0,0,100,2,2,1,"G","C","NO",NA,NA,NA,3,1,"3",1,"2_C"
3,"Chile","North",6,"hotter",5,5,5,5,3,4,1,"1_CL","3_M","3_IMC",NA,3,2,1,2,1,2,2,2,5,1,5,2,4,1,3,3,3,5,5,4,5,3,4,2,4,4,4,4,5,1,4,"TRUE","FALSE","FALSE","FALSE","increased","increased","TRUE","FALSE","FALSE","TRUE","became unpredictable","increased and unpredictable","TRUE","FALSE","FALSE","FALSE","increased","increased","TRUE","FALSE","FALSE","FALSE","increased","increased","YES",0,0,0,0,0,0,0,1,1,1,0,3,"YES",0,0,0,0,0,0,0,0,0,0,0,3,"YES",0,0,0,0,0,0,0,0,1,0,0,3,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES",0,0,0,0,0,0,0,0,0,1,0,5,1,1,5,5,5,1,1,1,1,1,0,1,1,0,0,0,0,0,NA,0,2,3,1,5,5,5,5,5,5,2,2,"2_DR","1_F","1_UP",5,5,3,"80-100%",0,"3_FFR",5,5,5,5,5,5,5,3,5,1,"NO","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","3_ROI","d",NA,NA,NA,"YES",5,2,4,4,2,4,1,4,4,3,5,5,3,3,3,4,2,1,5,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"1_LR","11_AR",1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,"2_A",NA,"b",1,"1_LR","11_AR",1,1,1,1,1,1,1,1,1,0,0,NA,0,1,1,"2_A",NA,"5_SELFN","5_SNEGEXP",5,5,6,7,7,1,1,6,7,1,3,"chile     ",63,"F",6,"SOTH",67,2,NA,"1_FAM","FAMALL",10,"Does not apply",10,10,"NO",NA,1,1,0,10,140,2,1.7,"lapins","bing",NA,NA,NA,NA,NA,NA,100,"NO",NA,0,0,100,1,2,1,"D","C","NO",NA,NA,NA,4,3,"3",1,"3_C"
4,"Chile","North",6,"hotter",5,5,2,5,5,5,4,"1_CL",NA,NA,NA,3,2,1,2,1,2,2,4,5,5,5,2,2,2,4,3,5,4,4,4,1,3,3,2,4,4,4,3,3,3,1,"TRUE","FALSE","FALSE","TRUE","increased","increased and unpredictable","FALSE","FALSE","TRUE","FALSE","decreased","decreased","TRUE","FALSE","FALSE","FALSE","increased","increased","TRUE","FALSE","FALSE","TRUE","increased","increased and unpredictable","YES",0,0,0,0,0,0,0,1,1,1,0,4,"YES",0,0,0,0,0,0,0,0,1,0,0,3,"YES",0,0,0,0,0,0,0,0,1,0,0,2,"YES",0,0,0,1,1,0,0,0,0,0,0,3,"YES",0,0,0,0,0,1,0,0,0,1,0,5,1,1,5,5,5,1,1,1,1,0,0,1,1,0,0,0,0,0,"1_A",0,2,2,1,5,5,5,4,4,4,2,2,"1_F","2_DR","1_U",5,5,3,"80-100%",0,"3_FS",5,5,5,5,5,5,4,4,3,1,"YES","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","2_WIND","n","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,5,3,5,"I don’t know",5,2,5,5,3,5,3,3,5,3,5,5,3,3,2,3,4,1,3,5,5,3,3,3,3,2,"2_RHL",NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,"2_F",NA,NA,2,"3_PL","3_FFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a",2,"2_RHL",NA,0,0,0,0,0,1,1,0,0,0,0,"2_F",0,0,2,"3_PL","3_FFR","5_SELFN","5_SNEGEXP",3,4,4,6,4,1,1,4,5,5,5,"chile     ",69,"F",6,"SOTH",74,2,NA,"1_FAM","FAMALL",30,"Does not apply",40,30,"NO",NA,1,0,0,4,60,0.5,0.5,"bing","lapins",NA,NA,NA,NA,NA,NA,95,"FR",NA,10,0,90,1,2,1,"LAY","C","NO",NA,NA,NA,3,1,NA,1,"4_C"
5,"Chile","North",6,"hotter",5,3,2,5,2,4,5,"4_PER","1_CL","3_FS",NA,2,2,1,2,1,1,2,1,5,1,5,1,1,2,3,1,4,3,2,1,1,3,3,2,3,3,4,4,3,1,1,"TRUE","FALSE","TRUE","TRUE","became unpredictable","changed and unpredictable","FALSE","FALSE","TRUE","FALSE","decreased","decreased","TRUE","FALSE","FALSE","FALSE","increased","increased","TRUE","FALSE","FALSE","FALSE","increased","increased","YES",0,0,0,0,1,0,0,0,0,1,0,4,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES",0,0,0,0,0,0,0,0,0,0,0,3,"YES",0,0,0,0,0,0,0,0,0,0,0,5,"YES",0,0,0,0,0,0,1,0,0,1,0,5,1,1,4,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,2,5,5,5,5,4,4,2,2,"2_DR","1_F",NA,5,5,3,"80-100%",0,"3_FFR",5,5,4,5,5,5,5,2,2,1,"NO","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","4_PER","d",NA,NA,NA,"I don’t know",5,1,5,5,5,5,3,4,5,5,5,5,4,4,2,2,4,4,5,4,4,5,3,5,5,2,"2_RR",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"3_FFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a",2,"2_RR",NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,2,"3_FFR",NA,"4_FONEG","4_FONEGEXP",1,6,7,6,4,1,1,3,6,1,4,"chile     ",75,"M",2,NA,40,1,NA,"1_COM","OTH",40,"NO",40,40,"YES",30,2,2,0,0,NA,1.5,1,"bing",NA,NA,NA,NA,NA,NA,NA,100,"NO",NA,0,100,0,2,2,1,"LAY","C","NO",NA,NA,NA,2,1,"1",1,"5_C"
6,"Chile","North",6,"hotter",4,4,5,5,4,5,2,"1_F","4_WA","4_PE","1_CL",5,2,1,2,1,2,2,5,5,4,5,4,4,4,3,4,5,4,4,5,4,4,4,4,3,4,4,4,4,5,4,"TRUE","FALSE","FALSE","TRUE","increased","increased and unpredictable","FALSE","FALSE","TRUE","FALSE","decreased","decreased","TRUE","FALSE","FALSE","FALSE","increased","increased","TRUE","FALSE","FALSE","FALSE","increased","increased","YES",0,0,0,0,0,0,0,0,1,1,0,4,"YES",0,0,0,0,0,1,1,1,1,1,0,3,"YES",0,0,0,0,0,0,1,0,0,0,0,3,"YES",0,0,0,0,0,0,0,0,0,0,0,5,"YES",0,0,0,0,0,0,0,1,0,1,0,5,1,1,5,5,5,1,1,1,0,0,0,1,1,0,0,0,1,0,"2_F",0,1,3,2,5,5,5,5,5,5,2,2,"2_DR","1_U",NA,5,5,5,"40-60%",0,"3_FS",5,5,5,5,5,4,4,4,4,1,"YES","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,"f","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,5,5,5,"YES",5,2,5,4,1,5,5,5,5,2,2,2,1,3,1,5,5,1,5,5,5,4,3,1,1,3,"4_SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a",3,"4_SA",NA,0,0,0,0,0,0,0,0,0,0,0,"N/A",0,0,0,NA,NA,"6_AN","5_SNEGEXP",6,4,4,5,3,2,1,3,5,1,5,"chile     ",63,"M",4,NA,73,3,NA,"1_OT","OTH",32,"YES",32,32,"NO",NA,6,2,0,10,150,3,3,"bing","lapins",NA,NA,NA,NA,NA,NA,100,"NO",NA,0,0,100,2,2,1,"D","C","NO",NA,NA,NA,4,2,"4",1,"6_C"
7,"Chile","North",6,"hotter",3,5,1,4,4,5,5,"1_U","3_M","3_M",NA,3,2,1,2,1,2,2,3,5,3,5,3,4,5,2,1,5,3,5,2,5,5,5,5,2,4,5,5,4,5,5,"TRUE","FALSE","FALSE","TRUE","increased","increased and unpredictable","FALSE","FALSE","TRUE","TRUE","decreased","decreased and unpredictable","TRUE","FALSE","FALSE","FALSE","increased","increased","TRUE","FALSE","FALSE","FALSE","increased","increased","YES",0,0,0,0,0,0,0,0,0,0,0,3,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES",0,0,0,1,1,0,0,0,0,0,0,4,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES",0,0,0,1,1,0,0,0,0,1,0,5,1,1,5,5,5,1,1,0,0,0,0,1,1,0,0,0,0,0,NA,0,1,3,3,5,5,5,5,5,4,2,2,"2_DR","1_T","1_F",5,3,3,"40-60%",0,"3_FS",3,3,2,5,5,5,4,3,4,1,"YES","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,"f","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,5,5,5,"I don’t know",5,2,4,5,2,4,2,4,4,2,2,3,2,3,2,2,2,1,5,3,4,5,4,1,1,1,"1_BI",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"3_IMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a",1,"1_BI",NA,0,0,0,0,1,1,0,0,0,0,0,NA,0,0,2,"3_IMC",NA,"6_AN","6_AREP",2,3,1,4,7,1,1,5,4,5,6,"chile     ",69,"M",3,NA,40,1,NA,"1_OT","OTH",40,"NO",40,40,"YES",21,2,3,0,15,225,1.5,1.5,"bing","lapins",NA,NA,NA,NA,NA,NA,100,"NO",NA,10,0,90,1,2,1,"DG","C","NO",NA,NA,NA,3,1,"3",1,"7_C"
8,"Chile","North",6,"hotter",4,5,3,4,4,2,1,"1_CL","4_IS","3_M","4_PE",4,2,1,2,1,1,2,2,4,2,5,4,4,2,1,4,3,1,3,4,2,3,4,2,1,4,4,3,4,4,4,"TRUE","FALSE","FALSE","TRUE","increased","increased and unpredictable","FALSE","FALSE","TRUE","TRUE","decreased","decreased and unpredictable","TRUE","FALSE","FALSE","FALSE","increased","increased","TRUE","FALSE","FALSE","TRUE","increased","increased and unpredictable","YES",0,0,0,0,1,0,0,1,0,1,0,4,"YES",0,0,0,0,1,0,0,0,0,1,0,4,"YES",0,0,0,0,0,0,1,0,0,0,0,3,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES",0,0,0,0,0,0,0,0,0,1,0,4,1,1,4,4,2,0,1,0,0,0,1,1,1,0,0,0,0,0,NA,0,2,4,3,4,4,2,4,3,3,2,2,"1_UP","2_A",NA,5,2,4,"40-60%",0,"4_TR",2,4,3,4,4,5,5,4,5,2,"YES","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","2_F","f","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,4,3,5,"I don’t know",5,4,5,3,1,4,3,1,2,1,3,1,4,1,4,3,4,2,5,5,5,4,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"1_BH",NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,"2_IF",NA,NA,1,"3_FFR",NA,"b",1,"1_BH",NA,0,0,1,0,0,1,1,0,0,0,0,"2_IF",0,0,1,"3_FFR",NA,"6_AN","6_AREP",5,2,3,6,3,4,1,3,3,2,4,"chile     ",56,"M",7,"AGR",23,NA,NA,"1_COM","OTH",23,"NO",27,23,"NO",NA,6,2,3,25,900,12,7.5,"royaldone","santina","sweethea",NA,NA,NA,NA,NA,65,"FR",NA,0,15,85,2,2,1,"DG","C","NO",NA,NA,NA,3,1,"4",1,"8_C"
9,"Chile","Central",16,"cooler",4,5,5,3,4,3,1,"1_CL","4_PE","3_FFR","3_FS",3,2,1,2,1,1,1,4,5,4,5,3,4,3,3,3,4,2,3,3,2,3,3,3,3,3,4,3,4,3,3,"TRUE","FALSE","TRUE","FALSE","became unpredictable","has changed (up and down)","FALSE","FALSE","FALSE","TRUE","became unpredictable","became unpredictable","FALSE","FALSE","FALSE","TRUE","became unpredictable","became unpredictable","TRUE","FALSE","FALSE","FALSE","increased","increased","YES",0,0,0,0,0,0,1,1,0,0,0,3,"YES",0,0,0,0,0,0,0,0,0,0,0,5,"YES",0,0,0,0,0,0,0,0,0,0,0,3,"YES",0,0,0,0,1,0,0,0,0,0,0,3,"YES",0,0,0,0,0,0,0,0,0,0,0,3,1,1,5,5,5,1,0,0,0,0,0,0,0,1,1,0,0,1,"4_AGR",0,2,3,1,5,5,4,5,4,4,3,3,"1_U","1_T","4_WA",4,1,1,"0-20%",0,"2_A",4,5,4,4,5,3,3,3,3,1,"YES","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE",NA,"g","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,4,3,4,"I don’t know",5,2,4,3,4,4,2,2,3,2,4,4,3,4,1,2,2,2,4,4,4,3,3,2,2,1,"1_DO",NA,NA,1,1,1,1,NA,1,1,NA,NA,1,"2_OTH",NA,NA,1,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a",1,"1_DO",NA,0,1,1,1,1,0,1,1,0,0,1,"2_OTH",0,0,1,"N/A",NA,"4_FONEG","4_FONEGEXP",5,5,6,7,5,5,1,1,5,1,1,"chile     ",83,"M",6,"SOTH",NA,3,NA,"1_OTF","OTF",28,"YES",28,28,"YES",2,2,1,1,20,2,11,0.5,"van","bing",NA,NA,NA,NA,NA,NA,20,"FR",NA,50,50,0,2,2,1,"G","W","NO",NA,NA,NA,3,3,"4",1,"9_C"
10,"Chile","Central",16,"cooler",5,5,5,5,5,4,1,"3_IMC","4_WA","3_IMC","1_CL",5,2,1,2,1,2,1,2,5,3,5,3,4,4,3,5,3,1,3,5,3,3,4,3,3,4,4,1,3,5,3,"TRUE","FALSE","FALSE","TRUE","increased","increased and unpredictable","FALSE","FALSE","TRUE","TRUE","decreased","decreased and unpredictable","TRUE","FALSE","FALSE","TRUE","became unpredictable","became unpredictable","TRUE","FALSE","FALSE","TRUE","increased","increased and unpredictable","YES",0,0,0,0,0,0,0,1,0,0,0,5,"YES",0,0,0,0,0,0,0,1,0,0,0,5,"YES",0,0,0,0,0,0,0,0,0,1,0,4,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES",0,0,0,0,0,0,0,1,0,0,0,5,1,1,5,5,5,1,1,0,0,1,0,1,1,0,0,0,0,0,"2_TPS",0,3,4,3,4,5,5,5,4,4,1,1,"1_T","1_F","1_UP",5,3,1,"40-60%",0,"3_FFR",5,5,5,5,5,5,5,5,5,2,"YES","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","2_TPS","l","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,5,4,5,"I don’t know",5,2,3,3,2,5,5,5,5,1,1,1,1,1,1,3,5,1,5,5,5,1,2,1,1,4,"2_RR",NA,1,1,NA,NA,1,1,1,1,1,1,NA,"2_TPS",NA,1,1,"3_FFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a",4,"2_RR",NA,1,1,0,0,1,1,1,1,1,1,0,"2_TPS",0,1,1,"3_FFR",NA,"3_ORCHNEG","3_ONEGREP",6,6,7,7,7,6,1,7,7,1,2,"chile     ",52,"M",6,"AGR",6,NA,NA,"1_OT","OTH",6,"I don’t know",6,6,"YES",22,0,0,1,1,30,4,3.6,"regina","lapins","santina","kordia",NA,NA,NA,NA,80,"HOME",NA,20,0,80,2,2,1,"D","W","NO",NA,NA,NA,2,1,"4",1,"10_C"
